ROUTE_SORT_ORDER,RIDERSHIP_AVERAGE,YTD_TOTAL_RIDERSHIP_COUNT,QTD_TOTAL_RIDERSHIP_COUNT,PY_QTD_TOTAL_RIDERSHIP_COUNT,PY_YTD_TOTAL_RIDERSHIP_COUNT,PY_RIDERSHIP_AVERAGE,YEAR_NUM,MONTH_NAME,MONTH_SHORT_NAME,MONTH_END_DATE,MONTH_YEAR,DAY_TYPE,MODE_NAME,SUB_MODE,ROUTE_NAME,DATA_AS_OF,SHOW_ON_DASHBOARD,FISCAL_YEAR_NUMBER,FISCAL_MONTH_NUMBER,FISCAL_QUARTER_NUMBER
335,11178.3074,85216.82013,22688.77362,18141.36826,108724.12634,8827.3684,2021,May,05-May,20210531,May-20,Weekday,MetroBus,Crosstown Routes,335-335 35th/38th,07/31/2021,1,2021,8,3
122,0,0,0,,,,2017,June,06-Jun,20170630,Jun-2017,Saturday,MetroBus,Flyer Routes,122-Four Points Limited,07/31/2021,1,2017,9,3
337,0,0,0,,,,2017,August,08-Aug,20170831,Aug-2017,Saturday,MetroBus,Crosstown Routes,337-Koenig/Colony Park,07/31/2021,1,2017,11,4
486,0,2489.83325,0,408,2993.23064,408,2020,April,04-Apr,20200430,Apr-20,Saturday,MetroBus,Special Service Routes,486-Night Owl South Congress,07/31/2021,1,2020,7,3
681,328,328,328,343,343,343,2019,October,10-Oct,20191031,Oct-2019,Sunday,MetroBus,UT Shuttles,681-Intramural/Far West,07/31/2021,1,2020,1,1
337,7354.99998,12462.99998,12462.99998,11279.74995,11279.74995,6291.74995,2019,November,11-Nov,20191130,Nov-2019,Saturday,MetroBus,Crosstown Routes,337-Koenig/Colony Park,07/31/2021,1,2020,2,1
483,3700.02265,16103.05236,8295.4409,,,,2017,March,03-Mar,20170331,Mar-2017,Weekday,MetroBus,Special Service Routes,483-Night Owl Riverside,07/31/2021,1,2017,6,2
325,5640.79998,14982.79997,14982.79997,13137.16664,13137.16664,3519.66664,2017,December,12-Dec,20171231,Dec-2017,Sunday,MetroBus,Crosstown Routes,325-Metric/Rundberg,07/31/2021,1,2018,3,1
983,0,0,0,0,28478.7492,0,2019,January,01-Jan,20190131,Jan-2019,Weekday,MetroExpress,MetroExpress,983-N. U.S. 183 Express,07/31/2021,1,2019,4,2
127,0,0,0,0,0,0,2018,June,06-Jun,20180630,Jun-2018,Saturday,MetroBus,Flyer Routes,127-Dove Springs Flyer,07/31/2021,1,2018,9,3
680,61.75,373.91519,61.75,58.5,452.71052,58.5,2018,May,05-May,20180531,May-2018,Saturday,MetroBus,UT Shuttles,680-North Riverside/Lakeshore,07/31/2021,1,2018,8,3
661,37505.9832,228670.82038,37505.9832,37444.658,244558.17043,37444.658,2018,April,04-Apr,20180430,Apr-2018,Weekday,MetroBus,UT Shuttles,661-Far West/UT,07/31/2021,1,2018,7,3
672,60,429.94439,146.66664,0,0,0,2021,May,05-May,20210531,May-20,Sunday,MetroBus,UT Shuttles,672-Lakeshore,07/31/2021,1,2021,8,3
30,2195,17434.80914,2195,3058.66665,18693.18453,3058.66665,2019,April,04-Apr,20190430,Apr-2019,Sunday,MetroBus,Local Routes,30-Barton Creek Sq,07/31/2021,1,2019,7,3
338,0,0,0,0,0,0,2019,October,10-Oct,20191031,Oct-2019,Sunday,MetroBus,Crosstown Routes,338-Lamar/45th,07/31/2021,1,2020,1,1
201,771.66664,771.66664,771.66664,908.2,908.2,908.2,2020,October,10-Oct,20201031,Oct-20,Sunday,MetroBus,Feeder Routes,201-Southpark Meadows,07/31/2021,1,2021,1,1
320,0,0,0,0,0,0,2021,May,05-May,20210531,May-20,Saturday,MetroBus,Crosstown Routes,320-St. Johns,07/31/2021,1,2021,8,3
970,0,0,0,0,0,0,2019,March,03-Mar,20190331,Mar-2019,Sunday,MetroExpress,MetroExpress,970-Lantana Express,07/31/2021,1,2019,6,2
493,0,21,0,16,16,0,2020,March,03-Mar,20200331,Mar-20,Saturday,MetroBus,Special Service Routes,493-EASTVIEW,07/31/2021,1,2020,6,2
